state,n,median,mean,std,frac_left,frac_right,polarization,gmm_k,gmm_pi1,gmm_mu1,gmm_sig1,gmm_pi2,gmm_mu2,gmm_sig2
GA,1902,-0.07579232261125789,-0.03389347603888684,0.30469573553576534,0.5531019978969506,0.4468980021030494,0.2727583716832935,2,0.5488397798661768,-0.27514850812121056,0.14411933547750752,0.4511602201338232,0.2595950736838577,0.153535658682917
HI,192,-0.1416666260575669,-0.10638765361583336,0.25506091352550786,0.6822916666666666,0.3177083333333333,0.2396017353474104,2,0.6196913663609381,-0.26717091305862267,0.13603413041755577,0.3803086336390618,0.15559955603197215,0.17363786914468846
IA,611,-0.10782380227770227,-0.0542536337837354,0.2920201304208847,0.5810147299509002,0.41898527004909986,0.2625970297653502,2,0.5556893347224098,-0.27919891816391995,0.13308254788336524,0.44431066527759033,0.22708036333756376,0.1653668523527317
ID,307,0.03638158056698862,0.030202447796754815,0.2850450528798739,0.4755700325732899,0.5244299674267101,0.2490783091798072,2,0.49162235037152635,-0.21405659545719752,0.1547639097421051,0.5083776496284735,0.2664111108482601,0.1522246809432726
IL,2191,-0.14147393463436758,-0.08237378398238158,0.29142776639405543,0.6193518941122775,0.3806481058877225,0.2680807102233533,2,0.5850367338095909,-0.29328206274404595,0.13416136919838945,0.41496326619040913,0.21497564569824185,0.1678243872106258
IN,1377,-0.03928600639183653,-0.016468472509376744,0.3007334748921222,0.5301379811183733,0.4698620188816267,0.2653733599312513,2,0.5296687735713143,-0.26040266226912034,0.15095451196520882,0.4703312264286857,0.2582407448718047,0.15541946794383138
KS,447,-0.027665079274590013,-0.011958470064306441,0.28321137748997344,0.5346756152125279,0.465324384787472,0.2458635475795631,2,0.5536949849894556,-0.22571582119027198,0.15681186795779414,0.4463050150105445,0.2532332023175979,0.14899442593541964
KY,959,-0.0285472776866834,-0.007661142470788184,0.31386779166625683,0.5151199165797706,0.4848800834202294,0.28195749690631267,2,0.5172487503650156,-0.27672221068510744,0.14497262073329775,0.4827512496349844,0.2806270834239402,0.14447016098821577
LA,616,-0.029075483260846163,-0.016995022279243047,0.3049524557932077,0.5243506493506493,0.47564935064935066,0.2681471750916025,2,0.5171740595629388,-0.2696204542021795,0.15479125783219663,0.48282594043706123,0.25360212098559126,0.1592557205055993
MA,1191,-0.1625413914392496,-0.1223861299591354,0.2573918873099492,0.6884970612930311,0.31150293870696893,0.2471972113496254,2,0.6245317652358015,-0.28337055168124636,0.13765988107905505,0.3754682347641986,0.1453858831293102,0.17355367052181836
MD,1095,-0.18535096074930224,-0.10543816937242508,0.2928369578278087,0.6465753424657534,0.35342465753424657,0.2784441695237574,2,0.6091181809379287,-0.30912331825151673,0.12585648216062847,0.3908818190620713,0.21196806780434696,0.17119011354594246
ME,342,-0.10551140961402702,-0.05532430307646657,0.29937160581292993,0.5760233918128655,0.4239766081871345,0.2665750331379225,2,0.551533884766553,-0.28413201244190467,0.14363332399570308,0.44846611523344715,0.2260686506479549,0.17580578093397864
MI,1884,-0.10085460800158279,-0.05417740926590531,0.2959087826625286,0.5833333333333334,0.4166666666666667,0.26471202878344235,2,0.5560290600259958,-0.28019747576119586,0.14066968930195464,0.44397093997400405,0.22889004809458807,0.1683399606781583
MN,977,-0.14795503492059434,-0.07742643923229549,0.29204077137618406,0.6120777891504606,0.38792221084953943,0.2691163525603051,2,0.5859205514879543,-0.29106724514180404,0.13164943649053512,0.4140794485120457,0.22487433726999118,0.1596197241978274
